Accelerometr_X,Accelerometr_Y,Accelerometr_Z,Accelerometer_Mean,Accelerometr_Std_X,Accelerometr_Std_Y,Accelerometr_Std_Z,Audio level mean,Light sensor mean,Light sensor std,Proximity,Screen mode,Sleeping,Timing,2 min long 
-36,-34,7952,7952.15,11,26,8064,85,265,266,0,off,1,,
-71,-16,7889,7889.34,49,54,8084,58.6,186,187,0,off,1,,
-63,-2,7779,7779.26,43,65,8417,98.5,427,428,0,off,1,,
-89,-10,7820,7820.51,2,50,8436,62,469,470,0,off,1,,
-41,-24,7404,7404.15,29,33,8222,55,129,130,0,off,1,,
-72,-139,7400,7401.66,563,74,8741,71,131,132,0,off,1,,
-100,-53,7793,7793.82,81,115,8339,47.5,324,325,0,off,1,,
-95,-37,7971,7971.65,-29,60,8152,87,159,160,0,off,1,,
-80,-96,8006,8006.98,240,162,8541,57,124,125,0,off,1,,
-576,-139,5991,6020.23,48,85,8296,49,916,917,0,off,1,,
-112,-179,7363,7366.03,-9,63,8283,74.6,819,820,0,off,1,,
-85,-387,7496,7506.46,29,-14,8813,48,456,457,0,off,1,,
-36,3500,6473,7358.74,1293,4470,7525,95,477,478,0,off,1,,
133,3437,6969,7771.59,909,3913,7433,46,434,435,0,off,1,,
34,-375,7983,7991.88,127,-238,8275,88,624,625,0,off,1,,
-35,-257,7839,7843.29,82,-40,8571,64,663,664,0,off,1,,
-50,-128,7314,7315.29,43,-40,8208,57.4,825,826,0,off,1,,
-103,-180,6721,6724.20,369,52,8958,49,120,121,0,off,1,,
-944,-165,1700,1951.50,121,522,8566,92,392,393,0,off,1,,
-37,-115,7710,7710.95,74,-33,8099,76,149,150,0,off,1,,
-1656,-168,6096,6319.16,301,549,11161,52,278,279,0,off,1,,
-95,-275,7707,7712.49,703,423,10204,67,943,944,0,off,1,,
-242,-193,7530,7536.36,60,40,8341,93,469,470,0,off,1,,
-120,-135,7884,7886.07,74,-40,8667,49.6,925,926,0,off,1,,
-67,-144,7530,7531.67,414,977,8552,76,240,241,0,off,1,,
-179,73,7967,7969.34,-75,106,8086,61,820,821,0,off,1,,
-220,41,7373,7376.40,-99,118,8183,58,429,430,0,off,1,,
-179,63,7583,7585.37,-111,126,8124,91,849,850,0,off,1,,
-290,-85,6963,6969.55,79,162,8603,54,1270,1271,0,off,1,,
-186,25,7120,7122.47,-98,350,8092,75,216,217,0,off,1,,
-843,-1067,5564,5727.76,557,1181,9046,87,208,209,0,off,1,,
17,2985,6929,7544.64,1173,3620,7574,63,1074,1075,0,off,1,,
161,2852,7206,7751.53,680,3239,7561,58,1348,1349,0,off,1,,
319,2031,7203,7490.66,726,2542,8140,98,452,453,0,off,1,,
-288,16,7913,7918.26,-186,55,8203,84,307,308,0,off,1,,
-310,-45,7823,7829.27,-89,145,8140,60,549,550,0,off,1,,
-533,-920,7584,7658.17,134,1170,8373,72,127,128,0,off,1,,
-263,-49,7912,7916.52,-45,205,8191,70,197,198,0,off,1,,
-133,64,7493,7494.45,31,396,8399,53,242,243,0,off,1,,
-33,8,7990,7990.07,5,50,8096,65,208,209,0,off,1,,
-33,2,7530,7530.07,70,235,8179,86,275,276,0,off,1,,
-26,-24,7962,7962.08,21,36,8074,59.6,196,197,0,off,1,,
-61,-6,7899,7899.24,59,64,8094,99.5,437,438,0,off,1,,
-53,8,7789,7789.18,53,75,8427,63,479,480,0,off,1,,
-77,2,7832,7832.38,14,62,8446,56,139,140,0,off,1,,
-31,-14,7414,7414.08,39,43,8232,72,141,142,0,off,1,,
-62,-129,7410,7411.38,573,84,8751,48.5,334,335,0,off,1,,
-90,-43,7803,7803.64,91,125,8349,88,169,170,0,off,1,,
-85,-27,7981,7981.50,-19,70,8162,58,134,135,0,off,1,,
-70,-86,8016,8016.77,250,172,8551,50,926,927,0,off,1,,
-566,-129,6001,6029.01,58,95,8306,75.6,829,830,0,off,1,,
-97,-164,7378,7380.46,6,78,8298,49,466,467,0,off,1,,
-84,-386,7497,7507.40,30,-13,8814,96,487,488,0,off,1,,
-26,3510,6483,7372.25,1303,4480,7535,47,444,445,0,off,1,,
143,3447,6979,7785.16,919,3923,7443,89,634,635,0,off,1,,
44,-365,7993,8001.45,137,-228,8285,65,673,674,0,off,1,,
-25,-247,7849,7852.93,92,-30,8581,58.4,835,836,0,off,1,,
-40,-118,7324,7325.06,53,-30,8218,50,130,131,0,off,1,,
-93,-170,6731,6733.79,379,62,8968,93,402,403,0,off,1,,
-934,-155,1710,1954.61,131,532,8576,77,159,160,0,off,1,,
-27,-105,7720,7720.76,84,-23,8109,53,288,289,0,off,1,,
-1646,-158,6106,6325.94,311,559,11171,68,953,954,0,off,1,,
-85,-265,7717,7722.02,713,433,10214,94,479,480,0,off,1,,
-232,-183,7540,7545.79,70,50,8351,50.6,935,936,0,off,1,,
-110,-125,7894,7895.76,84,-30,8677,77,250,251,0,off,1,,
-57,-134,7540,7541.41,424,987,8562,62,830,831,0,off,1,,
-169,83,7977,7979.22,-65,116,8096,59,439,440,0,off,1,,
-210,51,7383,7386.16,-89,128,8193,92,859,860,0,off,1,,
-169,73,7593,7595.23,-101,136,8134,55,1280,1281,0,off,1,,
-280,-75,6973,6979.02,89,172,8613,76,226,227,0,off,1,,
-176,35,7130,7132.26,-88,360,8102,88,218,219,0,off,1,,
-833,-1057,5574,5734.16,567,1191,9056,64,1084,1085,0,off,1,,
27,2995,6939,7557.81,1183,3630,7584,59,1358,1359,0,off,1,,
171,2862,7216,7764.72,690,3249,7571,99,462,463,0,off,1,,
329,2041,7213,7503.42,736,2552,8150,85,317,318,0,off,1,,
-278,26,7923,7927.92,-176,65,8213,61,559,560,0,off,1,,
-300,-35,7833,7838.82,-79,155,8150,73,137,138,0,off,1,,
-523,-910,7594,7666.19,144,1180,8383,68,217,218,0,off,1,,
-253,-39,7922,7926.13,-35,215,8201,51,262,263,0,off,1,,
-123,74,7503,7504.37,41,406,8409,63,228,229,0,off,1,,
-23,18,8000,8000.05,15,60,8106,84,295,296,0,off,1,,
-23,12,7540,7540.04,80,245,8189,57.6,216,217,0,off,1,,
-16,-14,7972,7972.03,31,46,8084,97.5,457,458,0,off,1,,
-51,4,7909,7909.17,69,74,8104,61,499,500,0,off,1,,
-43,18,7799,7799.14,63,85,8437,54,159,160,0,off,1,,
-67,12,7842,7842.30,24,72,8456,70,161,162,0,off,1,,
-21,-4,7424,7424.03,49,53,8242,46.5,354,355,0,off,1,,
-52,-119,7420,7421.14,583,94,8761,86,189,190,0,off,1,,
-80,-33,7813,7813.48,101,135,8359,56,154,155,0,off,1,,
-84,-26,7982,7982.48,-18,71,8163,48,946,947,0,off,1,,
-60,-76,8026,8026.58,260,182,8561,73.6,849,850,0,off,1,,
-556,-119,6011,6037.83,68,105,8316,47,486,487,0,off,1,,
-87,-154,7388,7390.12,16,88,8308,94,507,508,0,off,1,,
-83,-385,7498,7508.34,31,-12,8815,45,464,465,0,off,1,,
-16,3520,6493,7385.78,1313,4490,7545,87,654,655,0,off,1,,
153,3457,6989,7798.74,929,3933,7453,63,693,694,0,off,1,,
54,-355,8003,8011.05,147,-218,8295,56.4,855,856,0,off,1,,
-15,-237,7859,7862.59,102,-20,8591,48,150,151,0,off,1,,
-1430,2010,4758,5359.44,5143,10194,2062,66,52,53,1,off,0,,
-27552,-12812,-5519,30882.35,12984,11499,24185,49,64,65,1,off,0,,
-19399,-5914,-8268,21901.06,7361,8298,16423,61,85,86,1,off,0,,
-1980,2923,2098,4106.82,8969,8087,1998,82,58,59,0,on,0,,
-1071,-4866,-3774,6250.45,18473,7708,13539,55.6,98,99,0,on,0,,
-8322,2321,-3559,9343.94,10336,9161,10659,95.5,62,63,0,off,0,,
-877,-8823,-4420,9907.11,12901,6871,9665,59,55,56,1,off,0,,
-4395,1885,2590,5438.51,3905,8905,9430,52,71,72,1,off,0,,
-6779,-9957,-3165,12454.47,12040,12006,10032,68,47,48,1,off,0,,
-411,-8618,-5467,10214.06,15015,8218,9392,44.5,87,88,1,off,0,,
-10253,-7074,-3677,12987.91,8681,8173,14728,84,57,58,0,on,0,,
-1037,-12334,-3763,12936.89,13004,7906,7555,54,49,50,0,on,0,,
-10979,-6766,-5062,13854.28,2103,9444,9782,46,74,75,0,off,0,,
-11837,-9886,-2483,15620.91,12052,8266,11989,71.6,48,49,0,on,0,,
-31764,-31164,-31185,54338.30,18892,11813,19272,45,95,96,1,off,0,,
-1030,-5039,-981,5235.91,11782,7931,9914,92,46,47,0,off,0,,
-9944,-3261,-2908,10861.57,4982,9095,9703,43,88,89,0,on,0,,
-7584,430,-1806,7807.92,7356,9899,13219,85,64,65,1,off,0,,
-4581,414,-3080,5535.64,7736,8635,10636,61,57,58,1,off,0,,
-7367,-4044,-1977,8633.37,15701,7583,11454,54.4,49,50,1,off,0,,
-6459,-8074,-2941,10749.77,12582,8904,11387,46,92,93,0,on,0,,
-11932,1083,-1376,12059.80,8731,11213,10402,89,76,77,0,on,0,,
-8153,1912,-1285,8472.21,9281,10143,11606,73,52,53,0,off,0,,
8199,3529,-1492,9050.06,6601,11477,11149,49,67,68,1,off,0,,
-3477,-64,3666,5053.04,13221,7918,11316,64,93,94,1,off,0,,
-6264,1259,-1528,6569.44,3014,9435,10559,90,49,50,1,off,0,,
-3054,3790,-850,4941.00,8064,10104,11275,46.6,76,77,0,on,0,,
151,5061,-2727,5750.92,9010,6209,5080,73,61,62,0,off,0,,
-4723,4492,-85,6518.59,9230,9669,6688,58,58,59,0,on,0,,
-6431,826,2708,7026.61,3126,9507,11610,55,91,92,0,off,0,,
-2280,-722,2772,3661.10,8169,8734,11719,88,54,55,0,off,0,,
-9958,-4595,-3075,11389.97,3602,8872,11414,51,75,76,1,off,0,,
-4913,-3013,-3007,6500.60,13619,9434,7771,72,87,88,1,off,0,,
-882,-5685,2900,6442.60,10592,8242,10260,84,63,64,0,on,0,,
-3097,2243,4989,6285.90,5241,7558,9969,60,58,59,0,off,0,,
-1840,2997,5501,6529.06,2398,7872,11509,55,98,99,0,on,0,,
-2901,369,169,2929.25,11234,8833,9542,95,84,85,1,off,0,,
-8926,-2588,-6903,11576.81,12165,9282,9298,81,60,61,1,off,0,,
-11742,-5538,-882,13012.38,8967,8621,11353,57,72,73,0,off,0,,
-10422,-7970,-6681,14723.27,15602,10797,22997,69,70,71,1,off,0,,
-1330,2110,4858,5460.88,5243,10294,2162,67,53,54,1,off,0,,
-27452,-12712,-5419,30733.90,13084,11599,24285,50,65,66,1,off,0,,
-19299,-5814,-8168,21747.88,7461,8398,16523,62,86,87,1,off,0,,
-1880,3023,2198,4183.79,9069,8187,2098,83,59,60,0,on,0,,
-971,-4766,-3674,6095.56,18573,7808,13639,56.6,98,99,0,on,0,,
-8222,2421,-3459,9242.68,10436,9261,10759,96.5,63,64,0,on,0,,
-777,-8723,-4320,9765.08,13001,6971,9765,60,56,57,1,off,0,,
-4295,1985,2690,5442.73,4005,9005,9530,53,72,73,1,off,0,,
-6679,-9857,-3065,12294.87,12140,12106,10132,69,48,49,1,off,0,,
-311,-8518,-5367,10072.62,15115,8318,9492,45.5,88,89,1,off,0,,
-10153,-6974,-3577,12826.34,8781,8273,14828,85,58,59,0,on,0,,
-937,-12234,-3663,12804.93,13104,8006,7655,55,50,51,0,on,0,,
-10879,-6666,-4962,13689.76,2203,9544,9882,47,75,76,0,off,0,,
-11737,-9786,-2383,15466.15,12152,8366,12089,72.6,49,50,0,on,0,,
-31664,-31064,-31085,54165.10,18992,11913,19372,46,96,97,1,off,0,,
-930,-4939,-881,5102.43,11882,8031,10014,93,47,48,0,on,0,,
-9844,-3161,-2808,10713.60,5082,9195,9803,44,89,90,0,off,0,,
-7484,530,-1706,7694.26,7456,9999,13319,86,65,66,1,off,0,,
-4481,514,-2980,5405.92,7836,8735,10736,62,58,59,1,off,0,,
-7267,-3944,-1877,8478.65,15801,7683,11554,55.4,50,51,1,off,0,,
-6359,-7974,-2841,10587.39,12682,9004,11487,47,93,94,0,on,0,,
-11832,1183,-1276,11959.26,8831,11313,10502,90,77,78,0,on,0,,
-8053,2012,-1185,8384.70,9381,10243,11706,74,53,54,0,on,0,,
8299,3629,-1392,9164.10,6701,11577,11249,50,68,69,1,off,0,,
-3377,36,3766,5058.48,13321,8018,11416,65,94,95,1,off,0,,
-6164,1359,-1428,6471.55,3114,9535,10659,91,50,51,1,off,0,,
-2954,3890,-750,4941.73,8164,10204,11375,47.6,77,78,0,off,0,,
251,5161,-2627,5796.56,9110,6309,5180,74,62,63,0,on,0,,
-4623,4592,15,6516.04,9330,9769,6788,59,59,60,0,on,0,,
-6331,926,2808,6987.41,3226,9607,11710,56,92,93,0,on,0,,
-2180,-622,2872,3658.92,8269,8834,11819,89,55,56,0,off,0,,
-9858,-4495,-2975,11235.47,3702,8972,11514,52,76,77,1,off,0,,
-4813,-2913,-2907,6332.55,13719,9534,7871,73,88,89,1,off,0,,
-782,-5585,3000,6387.78,10692,8342,10360,85,64,65,0,off,0,,
-2997,2343,5089,6353.71,5341,7658,10069,61,59,60,0,off,0,,
-1740,3097,5601,6632.51,2498,7972,11609,56,99,100,0,on,0,,
-2801,469,269,2852.70,11334,8933,9642,96,85,86,1,off,0,,
-8826,-2488,-6803,11417.93,12265,9382,9398,82,61,62,1,off,0,,
-11642,-5438,-782,12873.21,9067,8721,11453,58,73,74,0,off,0,,
-10322,-7870,-6581,14553.01,15702,10897,23097,70,68,69,1,off,0,,
-1095,2345,5093,5712.85,5478,10529,2397,65,51,52,1,off,0,,
-27217,-12477,-5184,30386.09,13319,11834,24520,48,63,64,1,off,0,,
-19064,-5579,-7933,21389.11,7696,8633,16758,60,84,85,1,off,0,,
-1645,3258,2433,4386.35,9304,8422,2333,81,57,58,0,on,0,,
-736,-4531,-3439,5735.71,18808,8043,13874,54.6,97,98,0,off,0,,
-7987,2656,-3224,9013.36,10671,9496,10994,94.5,61,62,0,off,0,,
-542,-8488,-4085,9435.42,13236,7206,10000,58,54,55,1,off,0,,
-4060,2220,2925,5474.27,4240,9240,9765,51,70,71,1,off,0,,
-6444,-9622,-2830,11921.28,12375,12341,10367,67,46,47,1,off,0,,
-76,-8283,-5132,9744.30,15350,8553,9727,43.5,86,87,1,off,0,,
-9918,-6739,-3342,12447.88,9016,8508,15063,83,56,57,0,on,0,,
-702,-11999,-3428,12498.80,13339,8241,7890,53,48,49,0,off,0,,
-10644,-6431,-4727,13304.02,2438,9779,10117,45,73,74,0,on,0,,
-11502,-9551,-2148,15104.02,12387,8601,12324,70.6,47,48,0,off,0,,
-31429,-30829,-30850,53758.09,19227,12148,19607,44,94,95,1,off,0,,
-695,-4704,-646,4798.75,12117,8266,10249,91,45,46,0,off,0,,
-9609,-2926,-2573,10368.93,5317,9430,10038,42,87,88,0,on,0,,
-7249,765,-1471,7436.20,7691,10234,13554,84,63,64,1,off,0,,
-4246,749,-2745,5111.22,8071,8970,10971,60,56,57,1,off,0,,
-7032,-3709,-1642,8118.00,16036,7918,11789,53.4,48,49,1,off,0,,
-6124,-7739,-2606,10207.19,12917,9239,11722,45,91,92,0,on,0,,
-11597,1418,-1041,11729.66,9066,11548,10737,88,75,76,0,on,0,,
-7818,2247,-950,8189.79,9616,10478,11941,72,51,52,0,off,0,,
8534,3864,-1157,9439.19,6936,11812,11484,48,66,67,1,off,0,,
-3142,271,4001,5094.47,13556,8253,11651,63,92,93,1,off,0,,
-5929,1594,-1193,6254.37,3349,9770,10894,89,48,49,1,off,0,,
-2719,4125,-515,4967.27,8399,10439,11610,45.6,75,76,0,off,0,,
486,5396,-2392,5922.39,9345,6544,5415,72,60,61,0,off,0,,
-4388,4827,250,6528.17,9565,10004,7023,57,57,58,0,on,0,,
-6096,1161,3043,6911.51,3461,9842,11945,54,90,91,0,off,0,,
-1945,-387,3107,3685.95,8504,9069,12054,87,18,19,0,on,0,,
-9623,-4260,-2740,10874.62,3937,9207,11749,50,19,20,1,off,0,,
-4578,-2678,-2672,5938.80,13954,9769,8106,71,16,17,1,off,0,,
-547,-5350,3235,6275.90,10927,8577,10595,83,17,18,0,off,0,,
-2762,2578,5324,6528.38,5576,7893,10304,59,18,19,0,off,0,,
-1505,3332,5836,6886.66,2733,8207,11844,54,17,18,0,on,0,,
-2566,704,504,2708.13,11569,9168,9877,94,18,19,1,off,0,,
-8591,-2253,-6568,11046.26,12500,9617,9633,80,19,20,1,off,0,,
-11407,-5203,-547,12549.50,9302,8956,11688,56,16,17,0,on,0,,
-10087,-7635,-6346,14153.18,15937,11132,23332,68,21,22,1,off,0,,
-12902,113,-2346,13114.04,7761,10243,9432,96,20,21,1,off,0,,
-9123,942,-2255,9444.66,8311,9173,10636,79,21,22,1,off,0,,
7229,2559,-2462,8054.09,5631,10507,10179,66,22,23,1,off,0,,
-4447,-1034,2696,5302.21,12251,6948,10346,49,21,22,0,on,0,,
-7234,289,-2498,7658.61,2044,8465,9589,61,22,23,0,on,0,,
-4024,2820,-1820,5239.98,7094,9134,10305,82,20,21,0,off,0,,
-819,4091,-3697,5574.48,8040,5239,4110,55.6,31,32,1,off,0,,
-5693,3522,-1055,6777.00,8260,8699,5718,95.5,21,22,1,off,0,,
-7401,-144,1738,7603.70,2156,8537,10640,59,19,20,1,off,0,,
-3250,-1692,1802,4083.21,7199,7764,10749,52,22,23,1,off,0,,
-10928,-5565,-4045,12913.27,2632,7902,10444,68,19,20,0,on,0,,
-5883,-3983,-3977,8141.90,12649,8464,6801,44.5,18,19,0,on,0,,
-1852,-6655,1930,7172.44,9622,7272,9290,84,22,23,0,off,0,,
-4067,1273,4019,5857.76,4271,6588,8999,54,18,19,0,on,0,,
-2810,2027,4531,5703.93,1428,6902,10539,46,19,20,1,off,0,,
-3871,-601,-801,3998.43,10264,7863,8572,71.6,19,20,0,off,0,,
-9896,-3558,-7873,13136.75,11195,8312,8328,45,20,21,0,on,0,,
